,geometry,avg_temp,avg_min_month,avg_max_month
42669,POINT (57.5 -80.5),-55.66214497884115,-66.704926,-34.52156
42670,POINT (57.5 -79.5),-52.43993631998698,-63.231663,-32.018948
42671,POINT (57.5 -78.5),-49.74455769856771,-60.205906,-30.073687
42672,POINT (57.5 -77.5),-47.1437733968099,-57.23223,-28.194126
42673,POINT (57.5 -76.5),-44.651702880859375,-54.366016,-26.341816
42674,POINT (57.5 -75.5),-42.186319986979164,-51.564426,-24.457209
42675,POINT (57.5 -74.5),-39.977203369140625,-49.096428,-22.718843
42676,POINT (57.5 -73.5),-40.13967641194662,-49.091335,-23.278982
42677,POINT (57.5 -72.5),-41.25194549560547,-50.11531,-24.79746
42678,POINT (57.5 -71.5),-41.91608428955078,-50.633865,-26.140606
42679,POINT (57.5 -70.5),-41.12158203125,-49.450047,-26.520248
42680,POINT (57.5 -69.5),-37.89583841959635,-45.73479,-24.67271
42681,POINT (57.5 -68.5),-30.597793579101562,-37.93235,-18.89721
42682,POINT (57.5 -67.5),-18.932785034179688,-25.886482,-8.679524
42683,POINT (57.5 -66.5),-10.474257787068685,-17.840128,0.029473288
42729,POINT (57.5 -20.5),23.40430959065755,20.479662,26.086132
42768,POINT (57.5 18.5),26.301920572916668,21.281103,30.413153
42769,POINT (57.5 19.5),26.14752197265625,20.156599,31.129135
42770,POINT (57.5 20.5),26.64745839436849,19.78785,32.28097
42771,POINT (57.5 21.5),27.42822519938151,19.76592,33.703228
42772,POINT (57.5 22.5),27.287892659505207,19.060772,34.090336
42773,POINT (57.5 23.5),26.677640279134113,18.607391,33.418297
42775,POINT (57.5 25.5),27.06885019938151,20.943817,31.83992
42776,POINT (57.5 26.5),25.985010782877605,17.667622,32.7726
42777,POINT (57.5 27.5),25.272745768229168,14.880811,34.167862
42778,POINT (57.5 28.5),21.54950205485026,10.081458,31.817152
42779,POINT (57.5 29.5),14.24826685587565,2.8981142,25.039858
42780,POINT (57.5 30.5),18.025484720865887,6.2755,29.3434
42781,POINT (57.5 31.5),20.315226236979168,7.8978357,32.12552
42782,POINT (57.5 32.5),19.632951100667317,6.640808,31.814014
42783,POINT (57.5 33.5),18.469018300374348,4.9827642,30.987812
42784,POINT (57.5 34.5),18.51839828491211,4.7760534,31.262003
42785,POINT (57.5 35.5),16.631231943766277,2.9624732,29.40404
42786,POINT (57.5 36.5),15.421225229899088,2.0620034,28.187506
42787,POINT (57.5 37.5),12.462050120035807,-0.46495527,25.275038
42788,POINT (57.5 38.5),15.23935063680013,1.2453352,29.21838
42789,POINT (57.5 39.5),15.799276987711588,0.29108098,31.201294
42790,POINT (57.5 40.5),14.532828013102213,-1.622768,30.606287
42791,POINT (57.5 41.5),13.183472951253256,-3.247838,29.449106
42792,POINT (57.5 42.5),11.543663024902344,-5.1324673,27.875235
42793,POINT (57.5 43.5),10.377267201741537,-6.8582215,27.219666
42794,POINT (57.5 44.5),9.22634188334147,-8.765,26.699913
42795,POINT (57.5 45.5),8.866671880086264,-10.028007,26.907122
42796,POINT (57.5 46.5),7.8877003987630205,-11.459943,26.162527
42797,POINT (57.5 47.5),6.5453440348307295,-12.872327,24.821714
42798,POINT (57.5 48.5),5.689006169637044,-13.844293,24.112059
42799,POINT (57.5 49.5),4.608768463134766,-14.833794,22.900618
42800,POINT (57.5 50.5),3.6636873881022134,-15.570423,21.595684
42801,POINT (57.5 51.5),2.939528783162435,-15.552016,20.242634
42802,POINT (57.5 52.5),1.4095953305562336,-16.301792,18.040274
42803,POINT (57.5 53.5),0.8003050486246744,-16.845724,17.174318
42804,POINT (57.5 54.5),1.2537564436594646,-16.024944,17.343193
42805,POINT (57.5 55.5),1.5460751851399739,-15.543844,17.613457
42806,POINT (57.5 56.5),1.3882954915364583,-16.230001,17.94531
42807,POINT (57.5 57.5),1.2018961906433105,-16.490665,18.021059
42808,POINT (57.5 58.5),0.7522017955780029,-16.265747,17.435886
42809,POINT (57.5 59.5),0.25354353586832684,-16.754505,17.062557
42810,POINT (57.5 60.5),-0.5385821660359701,-17.907892,16.706503
42811,POINT (57.5 61.5),-1.2511188983917236,-18.749975,16.370981
42812,POINT (57.5 62.5),-1.8612035115559895,-19.411535,16.122509
42813,POINT (57.5 63.5),-2.7180843353271484,-20.126911,15.5443325
42814,POINT (57.5 64.5),-3.03643004099528,-20.211185,15.467576
42815,POINT (57.5 65.5),-3.5364793141682944,-20.04382,14.934942
42816,POINT (57.5 66.5),-4.541232426961263,-20.128365,13.75197
42817,POINT (57.5 67.5),-5.342562357584636,-20.291288,13.059556
42818,POINT (57.5 68.5),-5.714407602945964,-19.487192,11.005661
42820,POINT (57.5 70.5),-6.393822352091472,-18.15818,5.525526
42823,POINT (57.5 73.5),-8.391955693562826,-18.055595,2.919788
42824,POINT (57.5 74.5),-10.730299631754557,-20.98616,3.4234703
42825,POINT (57.5 75.5),-8.64642079671224,-18.164997,2.57882
42830,POINT (57.5 80.5),-13.004871368408203,-24.185596,1.442498
42831,POINT (57.5 81.5),-13.33895746866862,-24.263609,-0.014205466
42840,POINT (58.5 -89.5),-49.147918701171875,-60.236443,-26.4571
42841,POINT (58.5 -88.5),-49.883270263671875,-61.31837,-26.636488
42842,POINT (58.5 -87.5),-49.16746520996094,-60.783707,-25.797146
42843,POINT (58.5 -86.5),-49.46697998046875,-61.1498,-26.174477
42844,POINT (58.5 -85.5),-50.66731262207031,-62.35567,-27.53436
42845,POINT (58.5 -84.5),-51.48717244466146,-63.13229,-28.560097
42846,POINT (58.5 -83.5),-53.03909810384115,-64.57275,-30.403719
42847,POINT (58.5 -82.5),-54.80823262532552,-66.1934,-32.567192
42848,POINT (58.5 -81.5),-55.264923095703125,-66.48922,-33.547043
42849,POINT (58.5 -80.5),-55.598531087239586,-66.61835,-34.53314
42850,POINT (58.5 -79.5),-52.240275065104164,-62.98144,-31.937147
42851,POINT (58.5 -78.5),-49.4682871500651,-59.84412,-29.96742
42852,POINT (58.5 -77.5),-46.73211669921875,-56.704826,-27.991676
42853,POINT (58.5 -76.5),-44.17345174153646,-53.755444,-26.087425
42854,POINT (58.5 -75.5),-40.784960428873696,-50.03269,-23.270031
42855,POINT (58.5 -74.5),-38.517590840657554,-47.519466,-21.45438
42856,POINT (58.5 -73.5),-38.93058776855469,-47.785465,-22.241234
42857,POINT (58.5 -72.5),-39.88003285725912,-48.665546,-23.560574
42858,POINT (58.5 -71.5),-40.652905782063804,-49.30912,-24.961462
42859,POINT (58.5 -70.5),-40.58284250895182,-48.860645,-25.972723
42860,POINT (58.5 -69.5),-37.33787282307943,-45.12739,-24.071213
42861,POINT (58.5 -68.5),-29.74481964111328,-37.027294,-17.993093
42862,POINT (58.5 -67.5),-16.37596893310547,-23.460985,-5.7345824
42950,POINT (58.5 20.5),26.588157653808594,21.526396,30.896917
42951,POINT (58.5 21.5),27.071866353352863,20.228771,32.90038
42952,POINT (58.5 22.5),26.712664286295574,19.14959,33.28215
42953,POINT (58.5 23.5),27.28778584798177,20.345526,33.39503
42955,POINT (58.5 25.5),26.90955098470052,20.347914,32.178436
42956,POINT (58.5 26.5),25.054959615071613,16.144905,32.315804
42957,POINT (58.5 27.5),25.675186157226562,15.194218,34.605255
42958,POINT (58.5 28.5),21.835215250651043,10.322768,32.027252
42959,POINT (58.5 29.5),21.496170043945312,9.777436,32.275707
42960,POINT (58.5 30.5),21.387313842773438,9.342453,32.6787
42961,POINT (58.5 31.5),20.002614339192707,7.450101,31.761251
42962,POINT (58.5 32.5),18.434927622477215,5.6376967,30.409258
42963,POINT (58.5 33.5),16.761254628499348,3.6459193,29.006138
42964,POINT (58.5 34.5),16.856937408447266,3.4193404,29.418922
42965,POINT (58.5 35.5),14.95330556233724,1.6319635,27.522247
42966,POINT (58.5 36.5),13.502487182617188,0.2475299,26.233845
42967,POINT (58.5 37.5),13.248650868733725,-0.27537566,26.544497
42968,POINT (58.5 38.5),16.317949930826824,1.8260584,30.685093
42969,POINT (58.5 39.5),15.859928131103516,0.15083005,31.393438
42970,POINT (58.5 40.5),14.495962778727213,-1.6456515,30.38964
42971,POINT (58.5 41.5),13.117284138997396,-3.2961826,29.132978
42972,POINT (58.5 42.5),11.510117848714193,-5.1841025,27.593855
42973,POINT (58.5 43.5),10.341447830200195,-6.791008,26.87168
42974,POINT (58.5 44.5),9.403010050455729,-7.180094,25.387915
42975,POINT (58.5 45.5),8.625507354736328,-9.373552,25.779528
42976,POINT (58.5 46.5),7.501942952473958,-12.269724,26.105104
42977,POINT (58.5 47.5),6.083621978759766,-13.649502,24.584902
42978,POINT (58.5 48.5),5.056486129760742,-14.628518,23.647896
42979,POINT (58.5 49.5),4.161111831665039,-15.388629,22.615353
42980,POINT (58.5 50.5),3.427888870239258,-16.02237,21.582584
42981,POINT (58.5 51.5),3.059337933858236,-15.670806,20.5517
42982,POINT (58.5 52.5),1.9372692108154297,-16.024307,18.736095
42983,POINT (58.5 53.5),0.7427699565887451,-16.930864,17.12242
42984,POINT (58.5 54.5),-0.09271359443664551,-17.252499,15.909569
42985,POINT (58.5 55.5),1.6870485941569011,-15.096113,17.54049
42986,POINT (58.5 56.5),1.33632230758667,-15.99639,17.70935
42987,POINT (58.5 57.5),0.700489362080892,-16.812988,17.435818
42988,POINT (58.5 58.5),-0.15100391705830893,-17.160807,16.62827
42989,POINT (58.5 59.5),-1.3973240852355957,-18.672493,15.652677
42990,POINT (58.5 60.5),-1.8226653734842937,-19.50401,15.633561
42991,POINT (58.5 61.5),-2.2506017684936523,-20.154179,15.653722
42992,POINT (58.5 62.5),-2.866025924682617,-20.8117,15.44194
42993,POINT (58.5 63.5),-3.9854303995768228,-21.68607,14.595984
42994,POINT (58.5 64.5),-4.021417617797852,-21.35144,14.680431
42995,POINT (58.5 65.5),-4.105054219563802,-20.70808,14.554549
42996,POINT (58.5 66.5),-4.756148020426433,-20.455357,13.800867
42997,POINT (58.5 67.5),-5.592817942301433,-20.604515,12.987251
42998,POINT (58.5 68.5),-6.1496734619140625,-20.043777,10.786311
43000,POINT (58.5 70.5),-6.664202372233073,-18.573866,5.369825
43004,POINT (58.5 74.5),-9.560612996419271,-19.708536,3.7606735
43005,POINT (58.5 75.5),-9.706730524698893,-19.519266,3.0166545
43010,POINT (58.5 80.5),-12.820571899414062,-24.124985,1.8879234
43011,POINT (58.5 81.5),-13.367301940917969,-24.313667,-0.03327456
43020,POINT (59.5 -89.5),-49.14942423502604,-60.237507,-26.463474
43021,POINT (59.5 -88.5),-49.92671203613281,-61.36209,-26.688578
43022,POINT (59.5 -87.5),-49.171539306640625,-60.789677,-25.810345
43023,POINT (59.5 -86.5),-49.4713389078776,-61.15729,-26.189043
43024,POINT (59.5 -85.5),-50.694376627604164,-62.386284,-27.573462
43025,POINT (59.5 -84.5),-51.56531778971354,-63.214344,-28.656628
43026,POINT (59.5 -83.5),-53.19386291503906,-64.732704,-30.580175
43027,POINT (59.5 -82.5),-55.003092447916664,-66.39292,-32.791977
43028,POINT (59.5 -81.5),-55.31998189290365,-66.54212,-33.64483
43029,POINT (59.5 -80.5),-55.53972880045573,-66.540215,-34.546204
43030,POINT (59.5 -79.5),-52.18155415852865,-62.876846,-31.994835
43031,POINT (59.5 -78.5),-49.25899759928385,-59.552223,-29.927906
43032,POINT (59.5 -77.5),-46.38861592610677,-56.24823,-27.858435
43033,POINT (59.5 -76.5),-43.473052978515625,-52.925446,-25.606737
43034,POINT (59.5 -75.5),-39.34672292073568,-48.473984,-22.014482
